AptName,AptAddress,BedroomNo,BathroomNo,Rent,Area,lat,lng,distanceToPurdue,crimeRate,grocery_w/n_.5mi,busStops_w/n_.1mi
Main Street 1712,"1712 Main Street, Lafayette IN 47905",0,1,505,610,40.41595825,-86.87693366,2.025439864,0,0,0
Chauncey Square,"102 North Chauncey Avenue, West Lafayette IN 47906",2,2,889,765,40.42403996,-86.90682373,0.362560661,6,5,1
279 Crum Court,"279 Crum Court, West Lafayette IN 47906",3,1,480,1576,40.42753471,-86.90464978,0.510787204,6,5,2
1427 Alabama St,"1427 Alabama St, Lafayette IN 47905",1,1,575,1100,40.41632837,-86.88128393,1.799969175,0,0,0
Crewview,"320 Brown Street, West Lafayette IN 47906",3,2,1050,1100,40.42456435,-86.8997056,0.733751152,6,5,0
1116 Brown St,"1116 Brown Street, Lafayette IN 47904",1,1,450,480,40.4219104,-86.8847219,1.534721466,1,0,0
609 Dodge St.,"609 Dodge St., West Lafayette IN 47906",2,2,1200,1000,40.43318823,-86.91308617,0.58312417,6,2,2
418 S Grant St,"418 S Grant St, West Lafayette IN 47906",3,2,975,900,40.41812211,-86.91015406,0.494395518,5,2,2
820 Salem St,"820 Salem Street, Lafayette IN 47904",3,1,900,1576,40.42578087,-86.88793259,1.354872632,3,0,3
Southfork Apartment,"314 South Chauncey Avenue, West Lafayette IN 47906",4,2,360,1000,40.4195068,-86.90849571,0.453265722,5,3,3
111-117 South 6Th St,"111-117 South 6th St, Lafayette IN 47901",3,1,750,1200,40.41626638,-86.89050126,1.352130741,2,1,0
229 Littleton Street,"229 Littleton Street, West Lafayette IN 47906",4,2,435,1720,40.4254443,-86.90425371,0.496568119,6,5,2
Sugarhill Corporation,"460 Vine Street, West Lafayette IN 47906",4,2,1350,1200,40.42916204,-86.90805806,0.423089368,6,5,1
